year,name,count
2005,Indonesia,82690
2005,Malaysia,161710
2005,Philippines,33900
2005,Singapore,248140
2005,China,282730
2005,Hong Kong,156180
2005,Taiwan,110790
2005,Japan,679970
2005,South Korea,254630
2005,Bangladesh,2750
2005,India,65800
2005,Nepal,1070
2005,Pakistan,3480
2005,Sri Lanka,10220
2005,Canada,106730
2005,United States of America,442650
2005,Argentina,4160
2005,Brazil,12960
2005,Chile,4860
2005,Colombia,1990
2005,Mexico,5350
2005,South Africa,51090
2006,New Zealand,1065210
2006,New Caledonia,39700
2006,Papua New Guinea,29890
2006,Vanuatu,6890
2006,Fiji,26990
2006,United Kingdom,744670
2006,Ireland,61290
2006,Austria,18170
2006,Belgium,13290
2006,France,69710
2006,Germany,151840
2006,Netherlands,52870
2006,Switzerland,44230
2006,Denmark,23840
2006,Finland,10520
2006,Norway,16310
2006,Sweden,37100
2006,Italy,52610
2006,Spain,18640
2006,Poland,6980
2006,Russia,9240
2006,Iran,3200
2006,Israel,15010
2006,Saudi Arabia,6590
2006,United Arab Emirates,19970
2006,Cambodia,3200
2006,Thailand,68590
2006,Vietnam,17980
2006,Indonesia,82470
2006,Malaysia,145990
2006,Philippines,37570
2006,Singapore,229010
2006,China,305570
2006,Hong Kong,147730
2006,Taiwan,94270
2006,Japan,645910
2006,South Korea,266490
2006,Bangladesh,2980
2006,India,80710
2006,Nepal,1440
2006,Pakistan,3880
2006,Sri Lanka,11630
2006,Canada,115810
2006,United States of America,452250
2006,Argentina,5050
2006,Brazil,16960
2006,Chile,6470
2006,Colombia,2840
2006,Mexico,6140
2006,South Africa,55660
2007,New Zealand,1128940
2007,New Caledonia,41400
2007,Papua New Guinea,31880
2007,Vanuatu,7830
2007,Fiji,24400
2007,United Kingdom,705730
2007,Ireland,70120
2007,Austria,18190
2007,Belgium,14850
2007,France,77690
2007,Germany,156400
2007,Netherlands,53750
2007,Switzerland,43920
2007,Denmark,23600
2007,Finland,12130
2007,Norway,16930
2007,Sweden,36870
2007,Italy,55130
2007,Spain,21200
2007,Poland,8690
2007,Russia,12320
2007,Iran,4410
2007,Israel,15950
2007,Saudi Arabia,7530
2007,United Arab Emirates,26660
2007,Cambodia,3760
2007,Thailand,74170
2007,Vietnam,25030
2007,Indonesia,89910
2007,Malaysia,152910
2007,Philippines,44050
2007,Singapore,232850
2007,China,354610
2007,Hong Kong,138780
2007,Taiwan,93440
2007,Japan,569710
2007,South Korea,259380
2007,Bangladesh,3540
2007,India,90360
2007,Nepal,2270
2007,Pakistan,4660
2007,Sri Lanka,11930
2007,Canada,123690
